X,Y,NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID
37.5150237568737,40.790732973539,TR902,"3",TR,Ordu,Ordu,"3","2","1",TR902
38.5954138389945,40.5919326491677,TR903,"3",TR,Giresun,Giresun,"3","2","1",TR903
40.8681938381537,40.9326649063565,TR904,"3",TR,Rize,Rize,"3","2","1",TR904
41.8328384976193,41.1249658828316,TR905,"3",TR,Artvin,Artvin,"3","3","1",TR905
39.4026714325768,40.3425502131941,TR906,"3",TR,Gümüşhane,Gümüşhane,"3","3","3",TR906
41.562232451228,40.0432432375666,TRA11,"3",TR,Erzurum,Erzurum,"3","2","3",TRA11
39.30316728654,39.6703545990285,TRA12,"3",TR,Erzincan,Erzincan,"3","2","3",TRA12
40.1832797906465,40.2571225805862,TRA13,"3",TR,Bayburt,Bayburt,"3","3","3",TRA13
43.2546570299004,39.5587589432199,TRA21,"3",TR,Ağrı,Ağrı,"3","2","3",TRA21
43.0709806635492,40.4479742380784,TRA22,"3",TR,Kars,Kars,"3","2","3",TRA22
43.9698404960414,39.9004045565447,TRA23,"3",TR,Iğdır,Iğdır,"2","2","3",TRA23
42.8112122230765,41.1075583275927,TRA24,"3",TR,Ardahan,Ardahan,"3","2","3",TRA24
38.1422593115395,38.535837804294,TRB11,"3",TR,Malatya,Malatya,"3","2","3",TRB11
39.4318509379292,38.6585733672201,TRB12,"3",TR,Elazığ,Elazığ,"3","2","3",TRB12
40.6699943038341,39.037255670798,TRB13,"3",TR,Bingöl,Bingöl,"3","3","3",TRB13
39.5006704933575,39.2012814936152,TRB14,"3",TR,Tunceli,Tunceli,"3","3","3",TRB14
43.6043579432854,38.4743581448201,TRB21,"3",TR,Van,Van,"3","2","3",TRB21
41.8619553448634,38.9874512120518,TRB22,"3",TR,Muş,Muş,"3","2","3",TRB22
42.3968675938365,38.4985877389167,TRB23,"3",TR,Bitlis,Bitlis,"3","2","3",TRB23
44.0869031860798,37.4575231457444,TRB24,"3",TR,Hakkari,Hakkari,"3","2","3",TRB24
37.3696476351275,37.0777894903529,TRC11,"3",TR,Gaziantep,Gaziantep,"2","1","3",TRC11
38.2993751497373,37.8011070981467,TRC12,"3",TR,Adıyaman,Adıyaman,"3","2","3",TRC12
37.0582329631126,36.819295570012,TRC13,"3",TR,Kilis,Kilis,"3","2","2",TRC13
39.0884029491338,37.2417976253761,TRC21,"3",TR,Şanlıurfa,Şanlıurfa,"4","2","3",TRC21
40.354516849696,38.103724094245,TRC22,"3",TR,Diyarbakır,Diyarbakır,"4","2","3",TRC22
